id,vio,unp,hddm_v_global,hddm_v_local,bot_detection,fullscreenenter,fullscreenexit,noise,interrupted,getup,global_local,"case_when(noise == 0 ~ 1, noise == 1 ~ 0, TRUE ~ noise)"
1,1.0027856686354093,0.3152153076766038,1.9706930596666667,1.5839689523333331,1,1,0,0,0,0,0.3867241073333336,0
2,-0.8252876668661862,-0.8319182311921177,1.8756336316666664,1.754597993,1,1,0,1,0,0,0.12103563866666645,1
3,-0.6190341289850899,-0.6093582707163008,2.5468144833333333,2.5452657866666666,1,1,0,0,0,0,0.0015486966666666824,0
4,-0.9002820347859082,-0.8015220547931744,1.5907096766666666,1.4354343633333333,1,1,0,2,0,0,0.15527531333333333,2
8,0.3090306870723985,0.9805546549611386,2.855638936666667,2.99549153,1,1,0,1,0,0,-0.139852593333333,1
9,1.077780036555131,-0.17602821630765458,1.5712304453333332,1.182418713,0.800000011920929,1,0,0,0,0,0.3888117323333333,0
10,0.05591518229240667,-0.6152524746477764,2.305239833,2.6667862533333335,0.800000011920929,1,0,2,0,0,-0.3615464203333336,2
14,0.08404758331323303,0.29490480846498285,3.271682686666667,2.830843043333333,1,1,0,0,0,0,0.4408396433333337,0
15,-0.6752989310267425,0.19251872572314893,2.7826295433333335,2.6361707733333333,1,1,0,1,0,0,0.14645877000000018,1
17,-0.8252876668661862,-0.639875639282796,2.2052283266666666,1.7789017233333333,1,1,0,0,0,0,0.4263266033333333,0
20,-0.7502932989464643,-0.784511242805179,1.9187992033333336,1.5787163446666668,1,1,0,0,0,0,0.3400828586666669,0
21,-0.2909242562853762,-0.05494022383191654,1.8335998713333332,1.707843794333333,0.8999999761581421,1,0,0,0,0,0.12575607700000013,0
22,-0.7502932989464643,0.8844872958625499,2.335075471666667,3.124613456666667,1,1,0,0,0,0,-0.7895379849999999,0
23,-0.1690679214667588,-0.14377533650190383,1.6406984533333333,1.629918323,1,1,0,0,0,0,0.010780130333333249,0
24,1.1526983000674085,0.879541132585705,2.633924056666667,2.190135435,1,1,0,0,0,0,0.44378862166666666,0
25,2.8870477017712126,0.31603680930026357,2.1849566533333333,2.038102179,1,1,0,0,0,0,0.14685447433333332,0
27,0.074644748170476,0.37535815467770206,1.7926073436666667,1.714206669666667,1,1,0,1,0,0,0.07840067399999984,1
28,0.33716308809322487,0.20438655099476732,1.9204009473333337,1.3980893730766666,1,1,0,0,0,0,0.5223115742566671,0
29,-0.9002820347859082,-0.8925584169430517,3.3398607166666667,3.2549959233333334,0.8999999761581421,1,0,1,0,0,0.0848647933333333,1
